round,winner,results,year,gender,player1,player2,country1,country2,firstServe1,firstServe2,ace1,ace2,double1,double2,firstPointWon1,firstPointWon2,secPointWon1,secPointWon2,fastServe1,fastServe2,avgFirstServe1,avgFirstServe2,avgSecServe1,avgSecServe2,break1,break2,return1,return2,total1,total2,winner1,winner2,error1,error2,net1,net2
Second,Jo-Wilfried Tsonga,6-7(4) 7-6(8) 7-6(7) 6-2,2009,m,Jo-Wilfried Tsonga,Ivan Ljubicic,FRA,CRO,66%,61%,18,17,1,1,82%,76%,61%,61%,195.0,208.0,187.0,193.0,143.0,153.0,27%,100%,29%,25%,146,137,71.0,61.0,37.0,40.0,72%,74%
Second,Fernando Gonzalez,7-5 6-3 6-4,2009,m,Fernando Gonzalez,Guillermo Canas,CHI,ARG,67%,53%,12,9,3,5,83%,65%,55%,53%,201.0,203.0,175.0,179.0,140.0,143.0,20%,100%,41%,26%,112,93,52.0,32.0,33.0,23.0,68%,56%
Second,Rafael Nadal,6-2 6-3 6-2,2009,m,Rafael Nadal,Roko Karanusic,ESP,CRO,68%,66%,3,2,2,2,75%,69%,60%,27%,195.0,187.0,183.0,167.0,143.0,132.0,86%,0%,45%,30%,83,58,24.0,15.0,17.0,14.0,73%,65%
Second,Gael Monfils,6-4 6-4 3-6 6-2,2009,m,Gael Monfils,Stefan Koubek,FRA,AUT,61%,54%,17,2,6,3,73%,68%,63%,63%,203.0,198.0,182.0,175.0,148.0,140.0,56%,33%,35%,30%,109,100,36.0,28.0,43.0,44.0,61%,65%
Second,Marat Safin,7-5 6-2 6-2,2009,m,Marat Safin,Guillermo Garcia-Lopez,RUS,ESP,52%,66%,18,1,3,6,85%,63%,68%,48%,212.0,183.0,200.0,172.0,159.0,146.0,42%,0%,42%,23%,95,67,31.0,19.0,23.0,35.0,64%,60%
Second,Tomas Berdych,6-1 6-1 6-3,2009,m,Tomas Berdych,Brian Dabul,CZE,ARG,63%,70%,12,2,1,3,73%,58%,78%,25%,216.0,187.0,195.0,164.0,156.0,148.0,33%,0%,52%,25%,102,63,39.0,14.0,28.0,35.0,58%,54%
Second,Stanislas Wawrinka,6-3 6-4 6-4,2009,m,Stanislas Wawrinka,Brydan Klein,SUI,AUS,60%,67%,4,8,3,4,78%,70%,75%,45%,204.0,212.0,179.0,183.0,154.0,151.0,30%,0%,38%,23%,100,81,32.0,22.0,23.0,33.0,77%,63%
Second,Marcos Baghdatis,3-6 7-5 6-3 6-3,2009,m,Marcos Baghdatis,Robin Soderling,CYP,SWE,48%,51%,13,7,7,4,66%,69%,58%,38%,208.0,208.0,188.0,187.0,142.0,150.0,53%,42%,46%,38%,133,115,38.0,32.0,47.0,69.0,83%,63%
Second,David Ferrer,6-2 6-2 6-1,2009,m,David Ferrer,Dominik Hrbaty,ESP,SVK,64%,55%,8,2,1,3,95%,55%,62%,33%,188.0,183.0,177.0,169.0,140.0,134.0,100%,0%,55%,17%,78,34,20.0,6.0,18.0,34.0,100%,40%
Second,Novak Djokovic,7-5 6-1 6-3,2009,m,Novak Djokovic,Jeremy Chardy,SRB,FRA,71%,61%,7,3,1,0,75%,61%,68%,45%,200.0,204.0,192.0,193.0,151.0,167.0,100%,50%,45%,27%,89,61,33.0,23.0,17.0,32.0,75%,37%
Second,Andy Roddick,4-6 6-2 7-6(1) 6-2,2009,m,Andy Roddick,Xavier Malisse,USA,BEL,71%,61%,19,11,2,2,83%,67%,55%,48%,214.0,195.0,200.0,179.0,171.0,137.0,38%,67%,41%,25%,128,101,45.0,44.0,27.0,50.0,58%,71%
Second,Fabrice Santoro,5-7 7-5 3-6 7-5 6-3,2009,m,Fabrice Santoro,Philipp Kohlschreiber,FRA,GER,55%,68%,3,4,3,4,67%,59%,51%,56%,193.0,196.0,177.0,172.0,140.0,151.0,28%,37%,42%,40%,181,174,51.0,94.0,34.0,69.0,76%,74%
Second,Roger Federer,6-2 6-3 6-1,2009,m,Roger Federer,Evgeny Korolev,SUI,KAZ,60%,51%,8,2,3,3,71%,54%,70%,44%,198.0,201.0,167.0,188.0,154.0,148.0,58%,100%,51%,29%,89,59,25.0,26.0,15.0,44.0,67%,52%
Second,Yen-Hsun Lu,6-4 5-7 4-6 6-4 6-2,2009,m,Yen-Hsun Lu,David Nalbandian,TPE,ARG,63%,50%,9,5,4,8,71%,66%,53%,51%,196.0,192.0,183.0,180.0,150.0,148.0,57%,35%,41%,36%,167,149,51.0,37.0,60.0,61.0,69%,74%
Second,Gilles Muller,3-6 6-1 6-4 6-2,2009,m,Gilles Muller,Bernard Tomic,LUX,AUS,67%,56%,27,5,4,7,83%,65%,53%,47%,204.0,175.0,195.0,169.0,159.0,143.0,29%,17%,43%,27%,120,92,54.0,32.0,29.0,39.0,48%,64%
Second,Marin Cilic,6-2 6-3 4-6 6-3,2009,m,Marin Cilic,Janko Tipsarevic,CRO,SRB,59%,55%,22,4,2,3,78%,60%,46%,50%,203.0,203.0,190.0,188.0,148.0,140.0,39%,33%,44%,35%,134,115,54.0,32.0,46.0,42.0,63%,68%
Second,Juan Martin Del Potro,6-1 7-5 6-2,2009,m,Juan Martin Del Potro,Florian Mayer,ARG,GER,66%,62%,7,3,0,1,67%,53%,68%,48%,208.0,185.0,192.0,174.0,158.0,137.0,64%,20%,49%,33%,92,66,41.0,12.0,30.0,19.0,67%,51%
First,James Blake,6-4 6-3 7-5,2009,m,James Blake,Frank Dancevic,USA,CAN,66%,55%,7,8,5,3,80%,69%,45%,38%,198.0,203.0,179.0,177.0,145.0,137.0,40%,25%,45%,32%,109,88,46.0,32.0,21.0,15.0,78%,48%
First,Fernando Gonzalez,5-7 6-2 6-2 3-6 6-3,2009,m,Fernando Gonzalez,Lleyton Hewitt,CHI,AUS,57%,53%,12,9,4,11,80%,63%,51%,52%,203.0,193.0,179.0,172.0,143.0,146.0,50%,36%,42%,33%,145,121,67.0,32.0,58.0,47.0,76%,80%
First,Andy Murray,6-2 3-1 ret.,2009,m,Andy Murray,Andrei Pavel,GBR,ROU,65%,56%,2,0,3,3,100%,59%,45%,29%,198.0,188.0,158.0,161.0,130.0,132.0,75%,0%,54%,19%,46,24,13.0,6.0,11.0,17.0,100%,55%
First,Fernando Verdasco,6-0 6-2 6-2,2009,m,Fernando Verdasco,Adrian Mannarino,ESP,FRA,72%,44%,7,2,4,4,80%,56%,53%,31%,204.0,193.0,164.0,179.0,142.0,143.0,58%,0%,58%,28%,86,45,24.0,12.0,18.0,43.0,67%,40%
First,Michael Berrer,6-2 6-4 6-3,2009,m,Michael Berrer,Carsten Ball,GER,AUS,53%,58%,9,14,3,6,79%,57%,53%,35%,204.0,211.0,185.0,192.0,146.0,161.0,31%,38%,53%,34%,114,82,29.0,38.0,18.0,55.0,69%,43%
First,Tommy Haas,6-3 6-3 6-4,2009,m,Tommy Haas,Eduardo Schwank,GER,ARG,48%,61%,10,2,5,4,86%,61%,50%,44%,195.0,190.0,177.0,166.0,154.0,142.0,46%,29%,46%,33%,102,79,44.0,27.0,32.0,31.0,78%,72%
First,Gael Monfils,6-1 6-3 7-5,2009,m,Gael Monfils,Martin Vassallo Arguello,FRA,ARG,51%,66%,9,0,7,6,83%,54%,42%,40%,209.0,196.0,174.0,171.0,142.0,137.0,38%,33%,51%,37%,117,91,48.0,18.0,49.0,38.0,70%,52%
Final,Roger Federer,6-3 6-4 7-6(11),2010,m,Roger Federer,Andy Murray,SUI,GBR,66%,57%,11,10,2,4,72%,69%,61%,51%,209.0,214.0,191.0,196.0,153.0,151.0,33%,25%,37%,32%,116,100,46.0,29.0,42.0,36.0,72%,61%
semi,Roger Federer,6-2 6-3 6-2,2010,m,Roger Federer,Jo-Wilfried Tsonga,SUI,FRA,64%,56%,4,6,0,5,84%,69%,68%,39%,208.0,207.0,190.0,189.0,152.0,146.0,50%,-,41%,22%,85,54,33.0,21.0,13.0,27.0,73%,52%
semi,Andy Murray,3-6 6-4 6-4 6-2,2010,m,Andy Murray,Marin Cilic,GBR,CRO,63%,56%,5,6,1,6,76%,70%,57%,44%,207.0,205.0,183.0,189.0,148.0,148.0,31%,33%,39%,31%,125,106,40.0,35.0,29.0,54.0,69%,63%
quarter,Roger Federer,2-6 6-3 6-0 7-5,2010,m,Roger Federer,Nikolay Davydenko,SUI,RUS,60%,62%,9,1,4,4,67%,59%,49%,39%,209.0,207.0,189.0,176.0,150.0,150.0,57%,26%,47%,39%,125,104,35.0,35.0,43.0,50.0,68%,58%
quarter,Jo-Wilfried Tsonga,7-6(8) 6-7(5) 1-6 6-3 6-1,2010,m,Jo-Wilfried Tsonga,Novak Djokovic,FRA,SRB,64%,69%,19,2,2,9,68%,67%,48%,49%,215.0,199.0,193.0,186.0,150.0,155.0,67%,38%,36%,39%,158,155,54.0,41.0,55.0,55.0,59%,70%
quarter,Marin Cilic,7-6(4) 6-3 3-6 2-6 6-3,2010,m,Marin Cilic,Andy Roddick,CRO,USA,50%,63%,20,15,6,1,75%,69%,46%,52%,207.0,220.0,187.0,193.0,145.0,169.0,38%,38%,37%,38%,147,149,63.0,47.0,53.0,51.0,73%,54%
quarter,Andy Murray,6-3 7-6(2) 3-0 ret.,2010,m,Andy Murray,Rafael Nadal,GBR,ESP,59%,67%,13,1,1,1,77%,63%,45%,42%,216.0,199.0,193.0,175.0,152.0,143.0,40%,17%,44%,36%,94,75,38.0,23.0,25.0,26.0,79%,87%
Fourth,Roger Federer,6-2 6-3 6-4,2010,m,Roger Federer,Lleyton Hewitt,SUI,AUS,63%,60%,7,5,0,2,76%,62%,66%,45%,211.0,196.0,190.0,175.0,149.0,140.0,33%,20%,44%,28%,102,77,49.0,18.0,27.0,18.0,54%,52%
Fourth,Nikolay Davydenko,6-2 7-5 4-6 6-7(5) 6-3,2010,m,Nikolay Davydenko,Fernando Verdasco,RUS,ESP,62%,57%,6,15,5,20,68%,73%,57%,45%,207.0,219.0,187.0,195.0,154.0,164.0,58%,33%,35%,35%,171,157,37.0,45.0,51.0,81.0,68%,67%
Fourth,Novak Djokovic,6-1 6-2 7-5,2010,m,Novak Djokovic,Lukasz Kubot,SRB,POL,69%,62%,11,4,1,4,80%,68%,70%,31%,202.0,209.0,183.0,189.0,158.0,162.0,67%,50%,44%,23%,92,58,37.0,18.0,17.0,25.0,58%,49%
Fourth,Jo-Wilfried Tsonga,6-3 6-4 4-6 6-7(6) 9-7,2010,m,Jo-Wilfried Tsonga,Nicolas Almagro,FRA,ESP,58%,77%,25,13,4,1,85%,75%,63%,53%,217.0,215.0,193.0,178.0,149.0,146.0,27%,25%,30%,24%,174,160,77.0,46.0,42.0,40.0,79%,75%
Fourth,Andy Roddick,6-3 3-6 4-6 7-5 6-2,2010,m,Andy Roddick,Fernando Gonzalez,USA,CHI,68%,61%,32,17,0,9,87%,75%,50%,44%,227.0,213.0,198.0,181.0,167.0,147.0,22%,50%,35%,25%,159,141,68.0,83.0,17.0,49.0,57%,71%
Fourth,Marin Cilic,5-7 6-4 7-5 5-7 6-3,2010,m,Marin Cilic,Juan Martin Del Potro,CRO,ARG,57%,60%,20,19,7,3,82%,72%,50%,54%,206.0,214.0,187.0,190.0,145.0,145.0,25%,30%,34%,31%,181,173,67.0,46.0,71.0,58.0,61%,62%
Fourth,Andy Murray,7-6(4) 6-3 6-2,2010,m,Andy Murray,John Isner,GBR,USA,71%,69%,5,14,1,2,83%,70%,65%,29%,209.0,216.0,168.0,196.0,148.0,175.0,50%,0%,42%,22%,108,71,32.0,43.0,8.0,41.0,89%,49%
Fourth,Rafael Nadal,6-4 4-6 6-4 6-4,2010,m,Rafael Nadal,Ivo Karlovic,ESP,CRO,71%,68%,2,28,2,2,78%,78%,73%,62%,196.0,222.0,172.0,208.0,139.0,167.0,50%,50%,27%,23%,107,101,35.0,55.0,15.0,42.0,61%,64%
Third,Roger Federer,6-3 6-4 6-4,2010,m,Roger Federer,Albert Montanes,SUI,ESP,66%,60%,10,7,3,1,88%,60%,56%,64%,206.0,198.0,189.0,180.0,149.0,145.0,50%,-,38%,22%,96,74,36.0,18.0,39.0,33.0,73%,70%
Third,Lleyton Hewitt,6-0 4-2 ret.,2010,m,Lleyton Hewitt,Marcos Baghdatis,AUS,CYP,55%,47%,1,5,0,2,76%,65%,79%,16%,195.0,200.0,181.0,190.0,137.0,148.0,50%,-,58%,23%,46,21,8.0,8.0,8.0,26.0,100%,20%
Third,Fernando Verdasco,6-1 ret.,2010,m,Fernando Verdasco,Stefan Koubek,ESP,AUT,63%,53%,0,0,2,2,90%,44%,50%,13%,189.0,170.0,170.0,164.0,166.0,129.0,100%,-,63%,22%,24,9,5.0,2.0,6.0,12.0,100%,100%
Third,Nikolay Davydenko,6-0 6-3 6-4,2010,m,Nikolay Davydenko,Juan Monaco,RUS,ARG,71%,67%,6,0,2,0,72%,47%,59%,52%,207.0,199.0,177.0,171.0,146.0,145.0,60%,50%,51%,31%,87,58,22.0,6.0,30.0,35.0,63%,50%
Third,Novak Djokovic,6-1 6-1 6-2,2010,m,Novak Djokovic,Denis Istomin,SRB,UZB,59%,55%,3,3,7,0,73%,39%,45%,26%,199.0,197.0,187.0,176.0,158.0,138.0,64%,22%,67%,35%,87,49,29.0,11.0,25.0,31.0,71%,38%
Third,Jo-Wilfried Tsonga,6-4 3-6 6-1 7-5,2010,m,Jo-Wilfried Tsonga,Tommy Haas,FRA,GER,67%,69%,20,9,3,2,78%,66%,56%,56%,213.0,197.0,189.0,181.0,146.0,149.0,45%,50%,36%,29%,116,100,47.0,32.0,29.0,38.0,57%,67%
Third,Nicolas Almagro,6-4 6-3 6-4,2010,m,Nicolas Almagro,Alejandro Falla,ESP,COL,56%,50%,11,3,3,2,88%,63%,51%,51%,217.0,193.0,185.0,175.0,144.0,142.0,40%,25%,42%,27%,106,81,37.0,13.0,37.0,35.0,86%,57%
Third,Andy Roddick,6-7(4) 6-4 6-4 7-6(3),2010,m,Andy Roddick,Feliciano Lopez,USA,ESP,74%,58%,29,29,3,5,80%,74%,67%,51%,219.0,217.0,201.0,199.0,168.0,165.0,18%,20%,35%,23%,158,137,54.0,71.0,21.0,60.0,54%,63%
Third,Fernando Gonzalez,6-7(5) 6-3 1-6 6-3 6-4,2010,m,Fernando Gonzalez,Evgeny Korolev,CHI,KAZ,57%,59%,20,16,5,7,80%,78%,51%,53%,209.0,202.0,179.0,178.0,149.0,145.0,36%,33%,31%,32%,154,150,63.0,62.0,41.0,50.0,90%,64%
Third,Marin Cilic,4-6 6-4 6-3 6-3,2010,m,Marin Cilic,Stanislas Wawrinka,CRO,SUI,57%,53%,10,11,2,6,83%,75%,49%,45%,209.0,218.0,189.0,188.0,140.0,146.0,50%,29%,37%,31%,129,114,35.0,24.0,56.0,49.0,65%,50%
Third,Juan Martin Del Potro,6-3 0-6 6-4 7-5,2010,m,Juan Martin Del Potro,Florian Mayer,ARG,GER,59%,67%,11,5,5,3,71%,64%,45%,54%,218.0,198.0,199.0,183.0,158.0,139.0,36%,50%,38%,38%,118,117,45.0,34.0,46.0,24.0,66%,69%
